budget,genres,id,keywords,original_language,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average
8500000,"[{""id"": 18, ""name"": ""Drama""}]",339408,"[{""id"": 2831, ""name"": ""slavery""}]",en,"[{""name"": ""Phantom Four"", ""id"": 423}, {""name"": ""Mandalay Pictures"", ""id"": 551}, {""name"": ""Bron Studios"", ""id"": 13240}, {""name"": ""Tiny Giant Entertainment"", ""id"": 53155}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/9/9,15861566,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.5
100000000,"[{""id"": 18, ""name"": ""Drama""}]",271969,"[{""id"": 10085, ""name"": ""betrayal""}, {""id"": 232766, ""name"": ""vengeance""}]",en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Sean Daniel Company"", ""id"": 19857}, {""name"": ""LightWorkers Media"", ""id"": 23920}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/8/17,94061311,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.3
65000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",294272,"[{""id"": 5650, ""name"": ""feral child""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 208289, ""name"": ""1980s""}, {""id"": 209220, ""name"": ""live action and animation""}]",en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/8/10,143695338,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.2
175000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",297761,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 1296, ""name"": ""shared universe""}, {""id"": 2095, ""name"": ""anti hero""}, {""id"": 3269, ""name"": ""secret mission""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 194404, ""name"": ""supervillain""}, {""id"": 229266, ""name"": ""dc extended universe""}]",en,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/8/2,745000000,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.9
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",315011,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 7671, ""name"": ""godzilla""}, {""id"": 11100, ""name"": ""giant monster""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 161791, ""name"": ""kaiju""}, {""id"": 235525, ""name"": ""toyko""}]",ja,"[{""name"": ""Cine Bazar"", ""id"": 5896}, {""name"": ""Toho Pictures"", ""id"": 49301}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",2016/7/29,77000000,120,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,6.5
20000000,"[{""id"": 35, ""name"": ""Comedy""}]",376659,"[{""id"": 567, ""name"": ""alcohol""}, {""id"": 1010, ""name"": ""bar""}, {""id"": 8508, ""name"": ""party""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 18035, ""name"": ""family""}, {""id"": 163173, ""name"": ""hit and run""}, {""id"": 193674, ""name"": ""bathroom humor""}]",en,"[{""name"": ""STX Entertainment"", ""id"": 47729}, {""name"": ""Huayi Brothers Pictures"", ""id"": 78996}, {""name"": ""BillBlock Media"", ""id"": 90185}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/28,183936074,100,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.3
120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",324668,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 187844, ""name"": ""flashback""}]",en,"[{""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Captivate Entertainment"", ""id"": 25716}, {""name"": ""Pearl Street Films"", ""id"": 29313}, {""name"": ""Double Negative"", ""id"": 31922}, {""name"": ""Perfect World (Beijing) Pictures Co."", ""id"": 83871}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",2016/7/27,415484914,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.9
20000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",328387,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1576, ""name"": ""technology""}, {""id"": 11615, ""name"": ""internet""}, {""id"": 12361, ""name"": ""hacking""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 18249, ""name"": ""game""}, {""id"": 186846, ""name"": ""adaptation""}, {""id"": 201871, ""name"": ""dare""}, {""id"": 212562, ""name"": ""cellphone video""}, {""id"": 223438, ""name"": ""based on young adult novel""}, {""id"": 229980, ""name"": ""smartphone""}, {""id"": 235098, ""name"": ""taking a risk""}]",en,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Allison Shearmur Productions"", ""id"": 47706}, {""name"": ""Keep Your Head"", ""id"": 79963}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/27,83707310,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,7.1
4900000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",345911,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 3762, ""name"": ""darkness""}, {""id"": 9866, ""name"": ""basement""}, {""id"": 156866, ""name"": ""based on short story""}, {""id"": 161812, ""name"": ""fear of the dark""}, {""id"": 162846, ""name"": ""ghost""}]",en,"[{""name"": ""New Line Productions"", ""id"": 8781}, {""name"": ""Matter Productions"", ""id"": 13554}, {""name"": ""Atomic Monster"", ""id"": 76907}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/21,44107032,81,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.3
144000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",43074,"[{""id"": 5248, ""name"": ""female friendship""}, {""id"": 15040, ""name"": ""ghost hunting""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 162846, ""name"": ""ghost""}]",en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Montecito Picture Company, The"", ""id"": 4607}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Feigco Entertainment"", ""id"": 61791}, {""name"": ""Pascal Pictures"", ""id"": 84041}, {""name"": ""Ghostcorps"", ""id"": 84042}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/14,229147509,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.3
25000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",325789,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 18026, ""name"": ""drug lord""}]",en,"[{""name"": ""Good Films"", ""id"": 68620}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2016/7/13,15436808,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,6.6
19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",223702,"[{""id"": 1545, ""name"": ""supermarket""}, {""id"": 8508, ""name"": ""party""}, {""id"": 9956, ""name"": ""sausage""}, {""id"": 10637, ""name"": ""food""}, {""id"": 11500, ""name"": ""anthropomorphism""}, {""id"": 18049, ""name"": ""sex scene""}, {""id"": 155707, ""name"": ""musical number""}, {""id"": 161919, ""name"": ""adult animation""}, {""id"": 168867, ""name"": ""grocery store""}, {""id"": 228646, ""name"": ""gum""}]",en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""Point Grey Pictures"", ""id"": 16615}, {""name"": ""Nitrogen Studios Canada"", ""id"": 46875}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/11,140752617,83,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.6
185000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",188927,"[{""id"": 9663, ""name"": ""sequel""}, {""id"": 9743, ""name"": ""stranded""}, {""id"": 158449, ""name"": ""hatred""}, {""id"": 161176, ""name"": ""space opera""}]",en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""Perfect Storm Entertainment"", ""id"": 34530}, {""name"": ""Alibaba Pictures Group"", ""id"": 69484}, {""name"": ""Skydance Media"", ""id"": 82819}, {""name"": ""Sneaky Shark"", ""id"": 83644}, {""name"": ""Huahua Media"", ""id"": 83645}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/7/7,343471816,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.6
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",258489,"[{""id"": 409, ""name"": ""africa""}, {""id"": 5650, ""name"": ""feral child""}, {""id"": 7347, ""name"": ""tarzan""}, {""id"": 10787, ""name"": ""jungle""}, {""id"": 158130, ""name"": ""animal attack""}]",en,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Dark Horse Entertainment"", ""id"": 552}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}, {""name"": ""Beagle Pug Films"", ""id"": 46339}, {""name"": ""Riche Productions"", ""id"": 86565}, {""name"": ""Village Roadshow Films North America"", ""id"": 86566}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/29,356743061,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.5
10000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",316727,"[{""id"": 4565, ""name"": ""dystopia""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 221958, ""name"": ""legalized murder""}]",en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Why Not Productions"", ""id"": 729}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Blumhouse Productions"", ""id"": 3172}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/29,118587880,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.1
17000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",332567,"[{""id"": 534, ""name"": ""mexico""}, {""id"": 966, ""name"": ""beach""}, {""id"": 1524, ""name"": ""surfer""}, {""id"": 2041, ""name"": ""island""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 14712, ""name"": ""young woman""}, {""id"": 15097, ""name"": ""shark""}, {""id"": 15098, ""name"": ""great white shark""}, {""id"": 18029, ""name"": ""trapped""}, {""id"": 158130, ""name"": ""animal attack""}, {""id"": 223059, ""name"": ""animal horror""}, {""id"": 228752, ""name"": ""prey""}]",en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Ombra Films"", ""id"": 23513}, {""name"": ""Weimaraner Republic Pictures"", ""id"": 67069}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/24,119100758,86,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.2
50000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",316152,"[{""id"": 2831, ""name"": ""slavery""}, {""id"": 179585, ""name"": ""american civil war""}]",en,"[{""name"": ""Larger Than Life Productions"", ""id"": 1163}, {""name"": ""Vendian Entertainment"", ""id"": 50481}, {""name"": ""Route One Films"", ""id"": 50482}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/24,25035950,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,6.6
165000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",47933,"[{""id"": 12026, ""name"": ""alternate history""}, {""id"": 14909, ""name"": ""alien invasion""}]",en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Centropolis Entertainment"", ""id"": 347}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Stereo D"", ""id"": 86561}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/22,389681935,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,4.9
